"Below, we have listed 45 potential properties of language stimuli. For each...","Average (Below, we have listed 45 potential properties of language stimuli. For each...)","Minimum (Below, we have listed 45 potential properties of language stimuli. For each...)","Maximum (Below, we have listed 45 potential properties of language stimuli. For each...)","Standard Deviation (Below, we have listed 45 potential properties of language stimuli. For each...)",Count
...include a comparison or metaphor,2.83,1.00,4.00,0.90,12
...involve planning or organizing,2.92,2.00,4.00,0.86,12
...include a planning or decision-making process,2.92,2.00,5.00,1.04,12
"...describe a specific texture or sensation (e.g. ""the velvet was soft"")",3.33,2.00,5.00,0.94,12
...include technical or specialized terminology,2.25,1.00,3.00,0.72,12
...describe a mode of communication,3.08,2.00,5.00,1.04,12
"...contain numbers (""There were five apples."")",3.25,2.00,5.00,0.83,12
"...include a description about dialogue (""Betty said..."")",2.75,1.00,4.00,1.01,12
...include a direct speech quotation,2.50,1.00,4.00,1.19,12
...mention time,3.00,2.00,4.00,0.71,12
"...are reflective, involving self-analysis or introspection",2.92,2.00,4.00,0.64,12
...contain a measurement,2.58,1.00,4.00,1.11,12
...express a connection to a community,3.08,1.00,5.00,1.19,12
...contain a cultural reference,2.25,1.00,4.00,0.83,12
...describe a journey,2.75,1.00,5.00,1.01,12
...mention a specific location,3.67,2.00,5.00,0.94,12
...describe a physical sensation,3.42,2.00,5.00,0.86,12
...describe a personal or social interaction,3.75,3.00,5.00,0.72,12
...discuss personal or social values,3.17,2.00,4.00,0.69,12
...contain a proper noun,2.92,1.00,5.00,1.11,12
...are related to a specific industry or profession,2.17,1.00,5.00,1.14,12
...describe a specific sensation or feeling,3.50,2.00,4.00,0.65,12
...include a personal anecdote or story,3.25,1.00,5.00,1.01,12
...express personal values or beliefs,2.92,1.00,4.00,0.86,12
...mention a specific object or item,3.08,2.00,5.00,0.76,12
...contain a negation,2.00,1.00,3.00,0.71,12
...describe a personal reflection or thought,2.83,1.00,5.00,0.99,12
...describe a relationship between people,3.58,2.00,5.00,0.95,12
...is abstract rather than concrete,3.50,2.00,5.00,1.04,12
...involve spatial reasoning,3.42,2.00,5.00,1.04,12
...express an opinion about an event or character,2.67,1.00,5.00,1.03,12
...describe a physical action,3.67,2.00,5.00,0.75,12
...describe a visual experience or scene,4.25,3.00,5.00,0.60,12
...describe a physical environment or setting,4.17,2.00,5.00,0.99,12
...describe a sensory experience,4.00,2.00,5.00,1.00,12
...contain words with strong visual imagery?,4.33,3.00,5.00,0.62,12
...describe an interpersonal misunderstanding or dispute?,3.08,2.00,5.00,1.11,12
...involve the description of an emotional response?,3.75,2.00,5.00,0.92,12
...use irony or sarcasm?,2.67,1.00,4.00,0.75,12
...cointain first-person pronoun?,2.92,1.00,5.00,1.11,12
...are part of a legal document or text?,1.33,1.00,2.00,0.47,12
...describe a scientific experiment or discovery?,1.42,1.00,3.00,0.64,12
...discuss a breakthrough in medical research?,1.33,1.00,2.00,0.47,12
...involve a coding or programming concept?,1.50,1.00,3.00,0.76,12
...describe an educational lesson or class?,1.50,1.00,2.00,0.50,12